facilities,address,lat,lon,fac_type
市立石碇高中附設國中,[223]新北市石碇區隆盛里八分寮45號,25.013331,121.64278,學校
市立丹鳳高中附設國中,[242]新北市新莊區龍安路72號,25.020404,121.416125,學校
市立清水高中附設國中,[236]新北市土城區明德路一段72號,24.981914,121.465104,學校
市立三民高中附設國中,[247]新北市蘆洲區三民路96號,25.08632,121.473199,學校
市立錦和高中附設國中,[235]新北市中和區錦和路163號,24.992508,121.491104,學校
市立光復高中附設國中,[220]新北市板橋區光環路一段7號,25.016683,121.482675,學校
市立竹圍高中附設國中,[251]新北市淡水區竹林路35號,25.14602,121.463437,學校
市立北大高級中學附設國中,[237]新北市三峽區大義路277號,24.948041,121.375884,學校
市立樟樹國際實中附設國中,[221]新北市汐止區樟樹二路135號,25.065826,121.639704,學校
私立育達高中附設國中,[105]臺北市松山區美仁里寧安街12號,25.049727,121.553727,學校
市立西松高中附設國中,[105]臺北市松山區鵬程里健康路325巷7號,25.05537,121.566813,學校
市立中崙高中附設國中,[105]臺北市松山區吉祥里八德路四段101號,25.049624,121.562035,學校
